Name,Released,ESRB,Rating,Genres,Platforms,Metacritic,Publishers,Tags,Description,ImageURL
Frostpunk,2018-04-24,Mature,4.18,"Strategy, Simulation","Xbox One, Nintendo Switch, PlayStation 4, PC",85,11 bit studios,"Singleplayer, Atmospheric, Difficult, Survival, Dark, Post-apocalyptic, Choices Matter, Building, Management, Real-Time with Pause, Resource Management, Economy, City Builder","In an ultimately frozen world, people develop steam-powered technology to oppose the overwhelming cold. The city ruler has to manage both the inhabitants and the infrastracture the citizens live in. Leaders tactical skills face challenges, frequently questioning morality and the basic foundation of what we consider an organized society. Here optimization and resource management often clash with empathy and thoughtful decision-making. While city and society management consume most of the rulers",https://media.rawg.io/media/games/a88/a886c37bf112d009e318b106db9d420a.jpg
PAYDAY The Heist,2011-10-18,Adults Only,3.34,"Action, Shooter","PC, PlayStation 3",76,"Sony Interactive Entertainment, Daybreak Game Company","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, RPG, Co-op, cooperative, First-Person, FPS, Online Co-Op, Difficult, Stealth, Tactical, stats, Team-Based, Crime, Heist","PAYDAY The Heist is a dynamic co-op shooter that allows players to assume the role of a bank robber and to try on the criminal life from the first-person view. This game is the first part of the PAYDAY series and the beginning of the story of four outlaws  Dallas, Hoxton, Chains and Wolf. The gameplay is about completing 6 different heists throughout America alone (with bots) or in a team (up to 4 members). Each robbery could be carried out in two separate ways: players should decide whether st",https://media.rawg.io/media/games/546/546cf59a24b0ae308e311a07611ca22f.jpg
Call of Duty: Black Ops II,2012-11-13,Mature,3.96,"Action, Shooter","Wii U, Xbox One, Xbox 360, PlayStation 3, PC",74,Activison,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Co-op, cooperative, First-Person, Sci-fi, Horror, FPS, Online Co-Op, Steam Leaderboards, Survival, Controller, Tactical, Zombies, War, Team-Based, Futuristic, Valve Anti-Cheat enabled, Story, character, death","Call of Duty: Black Ops II is a first-person shooter, a direct sequel to Call of Duty: Black Ops that features its protagonists. The story is divided into two time periods. It starts in 1986 with Alex Mason that has to return to work after his retirement to catch Raul Menendez, responsible for multiple crimes. The second storyline takes place in 2025; you play as David, Masons son, who also needs to find Menendez who sparks the second Cold War. The game has several endings depending on your act",https://media.rawg.io/media/games/8ee/8eed88e297441ef9202b5d1d35d7d86f.jpg
Celeste,2018-01-25,Everyone 10+,4.38,"Indie, Platformer","Xbox One, PC, macOS, Nintendo Switch, PlayStation 4, Linux",91,Matt Makes Games,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Story Rich, 2D, Horror, Female Protagonist, celeste, xna, miniboss, fna, towerfall, matt-makes-games, great-graphics, character-development","Celeste is a platformer about climbing a mountain, from the creators of TowerFall.
Explore a sprawling mountain with over 500 levels bursting with secrets, across 8 unique areas. Unlock a hardcore Remix for each area, with completely new levels that will push your climbing skills to the limit.
Madeline can air-dash and climb any surface to gain ground. Controls are simple and accessible, but super tight and expressive with layers of depth to master. Deaths are sudden and respawns are fast. You'l",https://media.rawg.io/media/games/594/59487800889ebac294c7c2c070d02356.jpg
Ratchet & Clank,2016-04-12,Everyone 10+,4.05,"Action, Shooter, Adventure",PlayStation 4,85,Sony Interactive Entertainment,"Action-Adventure, exclusive, true exclusive","A game about the adventures of Cosmic fennec Ratchet and his friend and ally, the robot Clank, whom Ratchet carries behind him in his satchel.
Ratchet wants to be a space ranger, and he gets a chance to show that he deserves it. The missions look very serious, Ratchet himself is very serious - but this is a game, and one of its main features is humour and an elegant parody.
The game corresponds to the canon of the genre, but always offers something that makes every mission and every decision f",https://media.rawg.io/media/screenshots/294/294f3bd5a2aa79df10e10d6f3c6ed4a7.jpg
Age of Wonders III,2014-03-31,N/A,2.9,"RPG, Strategy","PC, macOS, Linux",80,"Paradox Interactive, Triumph Studios","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Co-op, cooperative, Fantasy, Classic, Female Protagonist, Split Screen, Tactical, Steam Workshop, Cross-Platform Multiplayer, Includes level editor, Moddable, Turn-Based, Turn-Based Strategy, Grand Strategy, 4X, Hex Grid","Age of Wonders 3 is a turn-based strategy game developed by Triumph Studios. It is the fourth title in the Age of Wonders game series.

###Story
Age of Wonders 3 is a fantasy game. It tells the story of a conflict between the Commonwealth Empire and the alliance of dark and forest elves. While the Commonwealth desires to take over the world and push all the old customs and traditions aside, elves fight to prevent such a thing from ever happening. Elves gather all the oppressed races and nations ",https://media.rawg.io/media/games/f95/f95ec06eddda5c5bf206618c49cd3e68.jpg
Metal Gear Rising: Revengeance,2013-02-19,Mature,4.25,Action,"PlayStation 3, Xbox 360, PC, Android, Xbox One",83,Konami,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack, Story Rich, Third Person, Sci-fi, Gore, Difficult, Stealth, Hack and Slash, Replay Value, Fast-Paced, Cyberpunk, Beat 'em up, Ninja, Mechs, Character Action Game, Swordplay, Spectacle fighter","After the events of the uprising took four years. Naomi Hunter creates the FOXAVILE computer virus that destroys the system of ""Sons of the Patriots"", thereby putting an end to the military economy, what turned the war into a profitable business. PMSC (Private Military Security Companies) began to protect essential people and act as peacekeepers. You play as Raiden, a katana-wielding cyborg who is forced to join the PMSC to protect his family.

Most of the gameplay Raiden has to cut enemies and ",https://media.rawg.io/media/games/8e6/8e699e91cf77c2060b6d515e2135b1b1.jpg
Black Mesa,2020-03-06,N/A,4.34,"Action, Shooter, Indie","PC, Linux",86,Crowbar Collective,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Classic, Online multiplayer, Early Access, Cross-Platform Multiplayer, Zombies, Includes level editor, exclusive, Captions available, Aliens, true exclusive, Remake, Includes Source SDK, Mod","Black Mesa is the original Half-Life as if it was made in the 21st century using modern graphics and updated mechanics. This remake of the classic game was envisioned by a group of enthusiasts, approved by Valve, and spent eight years in the making. The name, Black Mesa, refers to the secret research facility where the game is set. The player assumes the role of Gordon Freeman, a scientist caught in the midst of an experiment gone wrong. An anomaly breaks out, and hordes of monsters invade Black",https://media.rawg.io/media/games/009/009e4e84975d6a60173ec1199db25aa3.jpg
inFAMOUS Second Son,2014-03-21,Teen,3.91,Action,PlayStation 4,80,Sony Computer Entertainment,"exclusive, true exclusive",Action adventure game inFAMOUS: Second Son is a spin-off to the original inFAMOUS series. Players take control of Delsin Rowe from the third-person perspective in the open-world environment. The story takes place in Seattle 7 years after Cole McGraths sacrifice and the annihilation of The Beast (the ending of inFAMOUS 2). The protagonist is a 24-year-old local from the Akomish reservation. He has a Conduits superpower that gives him the control of different materials. Delsin also has an extrao,https://media.rawg.io/media/games/be2/be239d5eb4d0bf02bf722aff51e694ad.jpg
Half-Life: Source,2004-06-01,Mature,3.71,Action,"Linux, PC, macOS",,Valve,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, First-Person, Sci-fi, Horror, FPS, Classic, Zombies, Moddable, Aliens, Remake, 1990's, Silent Protagonist","Half-life: Source is a reissue of the 1998 Half-Life game based on a more modern ""Source"" game engine with many innovations in graphics performance and gameplay.

The game's plot is entirely consistent with the plot of the original Half-Life and tells us the story of the research centre ""Black Mesa"", which is located in the USA, New Mexico.

You play as a young researcher Gordon Freeman, who works in the laboratory of unusual materials. In case of having a low level of tolerance,  the scientist ",https://media.rawg.io/media/games/d54/d54f0267a042f44c032d8ca264584ecf.jpg
Dead by Daylight,2016-06-14,Mature,3.5,Action,"Nintendo Switch, PC, PlayStation 4, Xbox One, PlayStation 5",72,"Koch Media, Behaviour Interactive, Starbreeze Studios","Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, First-Person, Third Person, Partial Controller Support, Horror, Online Co-Op, Gore, Difficult, Survival, Comedy, Violent, Stealth, Survival Horror, Mature, Team-Based, online, Blood, character, console, offline, work, death, escape, sacrifice","This asymmetric multiplayer horror game in which one of the players tries on the role of a brutal killer, while the other four try to escape. Survivors play with a third person perspective, and the killer uses the first-person camera. The game has no singleplayer.

Players can choose from 13 survivors and 12 killers. Each of them differs from each other with own upgrades system and special actions. There is no need to be polite and cooperative - every player for himself. Each level is procedur",https://media.rawg.io/media/games/e11/e11325e2f89151d31f612e38dee3b6a0.jpg
LEGO The Lord of the Rings,2012-10-30,Everyone 10+,3.55,"Action, Adventure","PC, iOS, Nintendo DS, PlayStation 3, Nintendo 3DS, Xbox 360, Wii, PS Vita, Android",80,Warner Bros. Interactive,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, Open World, cooperative, Third Person, Fantasy, Funny, Comedy, Split Screen, Local Co-Op, Controller, Local Multiplayer, Family Friendly, 3D Vision, LEGO","LEGO The Lord of Rings is an adventure game that reimagines the events of the Lord of the Rings film trilogy with humor and Lego style. The game doesnt follow the plot of the saga directly but features all the characters, major events and voice acting from it.

There are 80 playable characters in the games, including Frodo Baggins, Legolas and other heroes, even not mentioned in the movies. Each of them has unique abilities and their own inventory. You can also create your own character. You pl",https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg
Mafia: The City of Lost Heaven,2002-08-28,Mature,4.35,Action,"Xbox, PlayStation 2, PC",88,"2K Games, 1C Company, Take Two Interactive, Gathering of Developers","Singleplayer, Story Rich, Open World, Third Person, Classic, Violent, Action-Adventure, mafia, 1930s, 30s","Its 1930. After an inadvertent brush with the mafia, cabdriver Tommy Angelo is reluctantly thrust into the world of organized crime. Initially, he is uneasy about falling in with the Salieri family, but soon the rewards become too big to ignore. As he rises through the ranks, the paydays keep getting bigger, but the jobs get even dirtier. Tommy may ultimately earn the respect of the Salieris, but becoming a Made Man will leave him more conflicted than ever with the new life he has chosen.Experi",https://media.rawg.io/media/games/74c/74ca0ec569682a150f3c6f9f661fb6a5.jpg
Rust,2018-02-09,Mature,3.37,"Action, Shooter, RPG, Massively Multiplayer, Indie","PlayStation 4, Xbox One, PC, macOS, Linux",66,Facepunch Studios,"Multiplayer, Co-op, Open World, cooperative, First-Person, FPS, Online Co-Op, Sandbox, Survival, Early Access, Steam Workshop, PvP, Cross-Platform Multiplayer, Nudity, In-App Purchases, Survival Horror, Post-apocalyptic, Crafting, Building, Valve Anti-Cheat enabled, mmo","To survive is the main task in the game Rust. It is necessary to survive in the area, which is now wholly wild but was recently inhabited.
At the beginning of the game, there is only a rock and a torch. The rest will have to be found or stolen.
Bears and wolves roam the terrain, there are diseases and radiation in the game, but the main danger comes from other survivors. The game has only a multiplayer mode. We have to engage in skirmishes and hand-to-hand fighting with them.
Players can not onl",https://media.rawg.io/media/games/447/4470c1e76f01acfaf5af9c207d1c1c92.jpg
Batman: Arkham Asylum,2009-08-25,Teen,4.4,Action,"Nintendo Switch, macOS, PC, PlayStation 4, PlayStation 3, Xbox 360, Xbox One",91,"Square Enix, Feral Interactive, Eidos Interactive","Exploration, Stealth, puzzles, hero, island","Batman: Arkham Asylum as an action-adventure game developed by Rocksteady Studios. It is the first installment in the Batman: Arkham series which is based on Batman comic series.

Batman successfully captures Joker and transports him to the Arkham Asylum on the Arkham Island. Batman suspects Joker of surrendering intentionally hence why the hero decides to escort Joker personally. Joker breaks away from the security frees all the inmates and captures the asylum. Batman sets out to restore order ",https://media.rawg.io/media/games/d56/d564ee964eb3c17892b3b35dd607f836.jpg
Overcooked,2016-08-01,Everyone,4.07,"Simulation, Arcade, Casual, Indie","PlayStation 4, Nintendo Switch, Xbox One, PC",81,Team17 Digital,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative, Funny, Difficult, Split Screen, Local Co-Op, Local Multiplayer, Family Friendly, Colorful, Memes, 4 Player Local, Co-op Campaign","Overcooked puts the player into the shoes of two restaurant chefs at once. Each level is a kitchen, and your goal is to cook a list of meals following the onscreen recipes. The time is limited, and there are restrictions on how much money the player can spend on the ingredients. The player controls two characters that can be switched at any time or ordered to do a list of actions. 
The kitchens are often set in the oddball places, such as a pirate ship, two speeding trucks, a pedestrian crosswal",https://media.rawg.io/media/games/270/270b412b66688081497b3d70c100b208.jpg
Assassin's Creed Syndicate,2015-10-23,Mature,3.66,Action,"PC, Xbox One, PlayStation 4",74,Ubisoft Entertainment,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, cooperative, Third Person, Partial Controller Support, Funny, Gore, Female Protagonist, Stealth, Historical, Parkour, Steampunk, Assassin, Illuminati","In 2015, the characters Shaun and Rebecca penetrate into one of the offices of ""Abstergo industries"", which is located in London, where they install bugs. There they find information that Abstergo looks through the life of British Assassins Jacob and Evie Frye, hoping to find a Piece of Eden hidden in London.

In the centre of the story of the past are the twin assassins Jacob and Evie Frye. They go to London to put their orders there and at the same time to find a Piece of Eden.

However, a mor",https://media.rawg.io/media/games/9f1/9f189c639f70f91166df415811a8b525.jpg
Deus Ex: Game of the Year Edition,2000-06-22,Mature,4.12,"Action, Shooter, RPG","macOS, PlayStation 2, PlayStation 3, PC",90,Square Enix,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, FPS, Classic, Stealth, Action RPG, Moddable, Cyberpunk, Dystopian, Cult Classic, Immersive Sim, Conspiracy, Inventory Management","The year is 2052 and the world is a dangerous and chaotic place. Terrorists operate openly - killing thousands; drugs, disease and pollution kill even more. The world's economies are close to collapse and the gap between the insanely wealthy and the desperately poor grows ever wider. Worst of all, an ages old conspiracy bent on world domination has decided that the time is right to emerge from the shadows and take control.

Key Features:

Real role-playing from an immersive 3D, first-person pers",https://media.rawg.io/media/screenshots/67e/67e5be6ad7a555248f50bd367e9a071c.jpg
Human: Fall Flat,2016-07-22,Everyone,3.82,"Action, Indie, Puzzle","Android, Linux, macOS, PC, iOS, PlayStation 4, Xbox One, Nintendo Switch",70,"505 Games, Curve Digital","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, Open World, cooperative, Funny, Sandbox, Survival, Split Screen, Local Co-Op, Local Multiplayer, stats, controller support, Physics, Memes, Puzzle-Platformer, 3D Platformer, soft-body physics","Human: Fall Flat is a low-poly adventure game with platforming elements and physics-based puzzles. You play as Bob, a fully customizable character that travels from one dream to another. Bob has neither no background nor superpowers. His abilities dont differ from yours: he can grab things, climb ledges and so on. 

Every level consists of multiple puzzles that can be solved in different ways. You can push and pull carts, break walls and interact with everything else comparable to your own size",https://media.rawg.io/media/games/74d/74dafeb9a442b87b9dd4a1d4a2faa37b.jpg
STAR WARS Battlefront II,2017-11-17,Teen,3.57,"Action, Shooter, Adventure","PlayStation 4, PC, Xbox One",74,Electronic Arts,"Singleplayer, Steam Achievements, Multiplayer, Co-op, cooperative, First-Person, Third Person, Sci-fi, FPS, Online Co-Op, Tactical, Third-Person Shooter, PvP, Space, Character Customization, combat, Aliens, Online PvP, Steam Trading Cards, Star Wars, Vehicular Combat","Despite its name, Star Wars Battlefront II is the seventh game in the Battlefront series of action games. It is a direct sequel to the 2015 Star Wars Battlefront that became the series's reboot.

###Story mode
The game is set in the Star Wars universe during and after the fall of the Galactic Empire. Its story mode fills the gap between the original trilogy and Episode VII: The Force Awakens. In the story campaign mode, the player controls the Imperial Inferno Squad led by the game's main pro",https://media.rawg.io/media/games/f54/f54e9fb2f4aac37810ea1a69a3e4480a.jpg
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-19,Adults Only,4.28,"Action, Shooter, Adventure, RPG","Xbox Series S/X, PC, Xbox One, Nintendo Switch, PlayStation 4",82,GSC Game World,"Singleplayer, Multiplayer, Atmospheric, RPG, Open World, First-Person, Sci-fi, Horror, FPS, Difficult, Classic, Sandbox, Survival, Moddable, Survival Horror, Post-apocalyptic, Based On A Novel, Inventory Management","This post-apocalyptic game that spawned the S.T.A.L.K.E.R. franchise is inspired by (but not really based on) the 'Roadside Picnic' novel by brothers Strugatsky and Tarkovsky's movie 'Stalker', borrowing some of the terms and aesthetics from both. S.T.A.L.K.E.R.: Shadow of Chernobyl is set in Ukraine, in the infamous Chernobyl Exclusion Zone. Several parts of the open-world setting were modeled after the real Chernobyl surroundings, including the power plant and the city of Pripyat, although des",https://media.rawg.io/media/games/348/348640e78a7fcd4bb7dcad4fea014eeb.jpg
Ghost of Tsushima,2020-07-17,Mature,4.41,"Action, Adventure, RPG","PlayStation 4, PC, PlayStation 5",83,Sony Interactive Entertainment,"Singleplayer, Atmospheric, RPG, Open World, Third Person, Action-Adventure, exclusive, japanese","The year is 1274. Samurai warriors are the legendary defenders of Japan--until the fearsome Mongol Empire invades the island of Tsushima, wreaking havoc and conquering the local population. As one of the last surviving samurai, you rise from the ashes to fight back. But, honorable tactics won't lead you to victory. You must move beyond your samurai traditions to forge a new way of fighting--the way of the Ghost--as you wage an unconventional war for the freedom of Japan.",https://media.rawg.io/media/games/f24/f2493ea338fe7bd3c7d73750a85a0959.jpeg
Doki Doki Literature Club!,2017-09-22,N/A,4.05,"Adventure, Indie","Linux, PC, macOS",78,Team Salvato,"Singleplayer, Horror, Free to Play, Anime, Cute, Visual Novel, Romance, Dating Sim","Doki Doki Literature Club puts you into the role of an anime character, an average Japanese schoolboy. Your protagonist joins a literature club in which he's the only male member. The remaining four girls  Monica, Sayori, Natsuki, and Yuri  compete for the boys attention. Each girl represents a certain anime character stereotype, such as tsundere, genki or kudere. As you get to know them closer, however, they turn out to have individual character traits on their own. Eventually, you will choo",https://media.rawg.io/media/games/972/972aea3c9eb253e893947bec2d2cfbb9.jpg
Until Dawn,2015-08-25,Mature,4.1,"Action, Adventure","PlayStation 4, PlayStation 3",79,Sony Computer Entertainment,"Horror, exclusive","Ten young people spend time in a cottage on a mountain. Around the cottage, there is a forest and something supernatural. First, they joke with each other, then unknown and deadly participants appear in the game.
Some people will die in any case, the lives of others will depend on the player. There will also be helpers - one of them will tell you that the mountain is inhabited by Wendigo - supernatural beings who were once human beings, but after eating peoples flesh they became obsessed with e",https://media.rawg.io/media/games/d4a/d4adb09d67998e339551acb0e15c1e99.jpg
Dark Souls: Prepare To Die Edition,2012-08-23,Mature,4.37,"Action, RPG","Xbox 360, PlayStation 3, PC",85,Bandai Namco Entertainment,"Singleplayer, Steam Achievements, Multiplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Partial Controller Support, Fantasy, Difficult, Exploration, Action RPG, Dark, Character Customization, Replay Value, Dark Fantasy, Medieval, Lore-Rich","Dark Souls: Prepare To Die Edition is an RPG set in the grim landscapes of Lordran, bringing the series for the first time on PCs. An open, seamless world, which spans from the top of the mountains to the lowest depths, offers players a new experience in the form of constant dangers and easily overpowering enemies.
The main character of the game is the Chosen Undead, whose features and background are customizable by the player, following a steep path of fate, death, and life after death. The tim",https://media.rawg.io/media/games/511/5116b4524cea34c6b3f12e0ca027d850.jpg
Company of Heroes,2006-09-11,N/A,3.68,Strategy,"PC, iOS",93,"SEGA, Feral Interactive","Singleplayer, Multiplayer, Steam Cloud, steam-trading-cards, Co-op, cooperative, First-Person, FPS, Classic, Violent, Tactical, Steam Workshop, Moddable, War, Historical, Team-Based, RTS, Military, Base Building, World War II, Real-Time with Pause, Real-Time, Tanks","Company of Heroes is an RTS game set during the WWII, featuring an extensive single-player campaign and various multiplayer modes. One of the fundamental differences from other strategies of the time is the dynamic environment and complete destruction of almost any object on the map.
The game starts with the invasion of Normandy by the Allied forces and leads through Europe. The almost cinematic experience of every battle allows players to immerse in the darkest hours of humankind fully. The war",https://media.rawg.io/media/games/0fa/0fadc446fd1e9ae9e23a32793d9a5406.jpg
A Way Out,2018-03-23,Mature,4.12,"Action, Adventure","PC, Xbox One, PlayStation 4",78,Electronic Arts,"Steam Achievements, Multiplayer, Full controller support, Atmospheric, Co-op, Story Rich, cooperative, Third Person, Online Co-Op, Violent, Split Screen, Stealth, Local Co-Op, Action-Adventure, Nudity, Cinematic, Sexual Content, Crime, Steam Trading Cards, Emotional, Remote Play Together, Shared/Split Screen Co-op, Remote Play on TV, Remote Play on Tablet, Conversation, Remote Play on Phone, prison, ea play","This action-adventure game released under the auspices of EA Originals Electronic Arts initiative. The game can not be played alone: ??there is simply no singleplayer. The available options are either to play the game on one device using split-screen or using the online multiplayer. You do not need to buy two games to play with somebody: when buying a friend, you can give the code for downloading a full version of the game, which, however, will be active only if you pass it together.

The stor",https://media.rawg.io/media/games/473/473bd9a5e9522629d6cb28b701fb836a.jpg
Hitman: Blood Money,2006-05-29,N/A,4.31,"Action, Shooter","Xbox 360, PlayStation 4, PC, PlayStation 2, PlayStation 3, Xbox",82,"Square Enix, Io-Interactive","Singleplayer, Atmospheric, Great Soundtrack, First-Person, Third Person, Difficult, Classic, Sandbox, Stealth, Third-Person Shooter, Dark, Replay Value, Crime, Assassin, Cult Classic","Money Talks. Silence Pays. Prepare to Make a Killing. When assassins from Agent 47's contract agency, The ICA, are eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. Sensing he may be a target, 47 travels to America, and prepares to make a killing.",https://media.rawg.io/media/games/233/233cdc08cce0228f6f35222eca3bff92.jpg
FINAL FANTASY XV,2016-11-29,Teen,3.87,RPG,"PlayStation 4, PC, Xbox One",82,Square Enix,"RPG, Fantasy, combat, Story, battle, friends, Tanks, night","Final Fantasy XV is an action RPG developed by Square Enix and is not connected to the previous installments of the series.

The story takes place in a world of Eos. Noctis Lucis Caelum, the heir of the Lucis Empire throne sets out on a quest with his comrades in order to recover a stolen magical gem the theft of which sparks a global conflict between all the nations in Eos.

The combat system resembles the same one featured in Final Fantasy Type-0 but is heavily modified. There is no option to ",https://media.rawg.io/media/games/2ee/2eeed8524931b4fae1e4a40d0e5443b5.jpg
The Long Dark,2014-09-22,Teen,3.91,"Action, Adventure, Simulation, Indie","PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Linux",76,Hinterland Studio,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Open World, First-Person, Horror, Difficult, Steam Leaderboards, Exploration, Sandbox, Female Protagonist, Survival, Early Access, Survival Horror, Post-apocalyptic, Crafting, Walking Simulator, overlay, in development","The Long Dark is a game about surviving in the unforgiving conditions of frozen North Canadian taiga. The Arctic wilderness may be breathtakingly beautiful, thanks to the games artful visual style, but it is also deadly. Low temperatures, hungry animals like wolves and bears, and starvation can easily kill your character. To stay alive, he will need to learn how to light a campfire, find shelter, care about his wounds, hunt for food and protect himself in an unfriendly environment. Many necessa",https://media.rawg.io/media/games/fd2/fd20a68d7ef195855588c937865dd0a7.jpg
Oddworld: Abe's Oddysee,1997-09-19,Teen,3.54,"Action, Platformer","PlayStation 5, PlayStation 4, PC, PlayStation",85,"GT Interactive Software, Oddworld Inhabitants, SoftBank, PSN, SCE","Singleplayer, Multiplayer, Atmospheric, steam-trading-cards, 2D, Fantasy, Funny, Difficult, Classic, Comedy, Dark, Retro, controller support, Cinematic, Puzzle-Platformer, Cult Classic","Oddworld: Abes Oddysee is the first chapter of the Oddworld franchise. The game is set in the fictional Oddworld universe inhabited by extraterrestrials. The story follows Abe, a slave on the Mudokon meat factory, who suddenly realizes the perspective of being slaughtered in the near future with all of his fellow slaves. Players are offered to take control of Abe on his way to the liberation of the rest of enslaved Mudokons. The gameplay features classic platformers mechanics: all the action i",https://media.rawg.io/media/games/2ae/2aedae90b1377a0f3e5ce54d24f8e41a.jpg
Counter-Strike: Condition Zero Deleted Scenes,2004-03-23,Mature,2.88,Shooter,"PC, macOS, Linux",,"Valve, Vivendi Universal Games","counter-strke, cs, condition zero","Counter-Strike: Condition Zero Deleted Scenes (CS:CZ DS) is a bonus game, originally developed by Ritual Entertainment, included with Counter-Strike: Condition Zero making up a series of eighteen unconnected single-player missions which were cut from the main game.",https://media.rawg.io/media/screenshots/9fd/9fd128fef547eb630182a1995b1edeb5.jpg
Tropico 4,2011-08-24,N/A,3.51,"Strategy, Simulation","PC, Xbox 360, Xbox One, macOS",78,Kalypso Media,"Singleplayer, Steam Achievements, Atmospheric, steam-trading-cards, Great Soundtrack, Funny, Sandbox, Comedy, Building, RTS, Management, Real-Time with Pause, Resource Management, Economy, City Builder, Political, Cold War, Politics, God Game, Capitalism","Tropico 4 is a simulator/strategy game, where the player takes control of a small island nation as its president. The game is the fourth installment in the series, which have seen lots of changes throughout its existence.
The game focuses on the well-being of your nations citizens, the political sphere around the country and the economics. The player will face various difficulties in guiding the country through one of the most challenging times of our world. Victory can be swift, but the conseq",https://media.rawg.io/media/games/d1e/d1e70ce3762efcfc170c6bd067d7e9e3.jpg
Titan Souls,2015-04-13,N/A,3.33,"Action, Indie","PlayStation 4, PS Vita, PC, macOS",74,Devolver Digital,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, 2D, Fantasy, Difficult, Action-Adventure, Pixel Graphics, Controller, Retro, controller support, Short, Roguelike, Top-Down","Between our world and the world beyond it lies the Titan Souls, the spiritual source and the entirety of all living things. Now among the ruins and among the titans a lone hero armed with only one arrow gathers again the souls of the Titans in search of strength.

Titan Souls is a 2D game in the open world with a top-down camera. The player has only one arrow and can only withstand one hit from the enemies. The main task is to defeat 19 giant monsters called Titans, who can also endure only one ",https://media.rawg.io/media/screenshots/2fc/2fc6994425146f9dba3133400b414e29.jpg
The Binding of Isaac: Rebirth,2014-11-03,Mature,4.33,"Action, RPG","Xbox One, macOS, Linux, Nintendo Switch, Nintendo 3DS, Wii U, PlayStation 4, PS Vita, iOS, PC",86,Nicalis,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Co-op, cooperative, 2D, Horror, Gore, Difficult, Split Screen, Local Co-Op, Pixel Graphics, Dark, Replay Value, Roguelike, Remake, Roguelite, Dungeon Crawler, Procedural Generation, Twin Stick Shooter","The Binding of Isaac: Rebirth is a remake of The Binding of Isaac.

The plot is based on a biblical story. Little Isaac and his mother live happily in a small house on the hill. And suddenly the mother heard a voice, which told her that her son is defiled by sins and must be saved. The voice asks the woman to remove all evil from Isaac to save him. There are 12 endings in the game.

By controlling Isaac or other of the six characters to choose from, the player must go through several levels of t",https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg
Max Payne,2001-07-25,Mature,4.45,"Action, Shooter","PC, PlayStation 3, Xbox, Classic Macintosh, PlayStation 2, Xbox 360, PlayStation 4",89,"Microsoft Studios, Feral Interactive, Rockstar Games, 1C-SoftClub, 3D Realms, MacSoft, Gathering of Developers","Singleplayer, Classic, Third-Person Shooter, Noir, first person mod","Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder and now hunted by cops and the mob. Max is a man with his back against the wall, fighting a battle he cannot hope to win. Prepare for a new breed of deep action game. Prepare for pain...
Developed by Remedy Entertainment and produced by 3D Realms, Max Payne is a relentless story-driven game about a man on the edge, fighting for his justice while uncovering plot-twists and twisted",https://media.rawg.io/media/games/2f5/2f5eb72fe45540e93ac2726877551a20.jpg
